alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res,std_res,best_time,mean_time,best_iter,mean_iter
1,4,100,10,10,0.2,1,0.1,2904.0,2947.2,29.7213727812,73.8488142490387,118.397117519,100.0,158.8
1,4,100,10,10,0.2,2,0.1,2918.0,2943.4,18.6290096355,298.538232088089,144.141908884,400.0,193.0
1,4,100,1,10,0.2,1,0.1,2921.0,2999.2,56.2259726461,74.54806637763977,63.2199905872,97.0,82.0
1,4,100,1,10,0.2,2,0.1,2982.0,3009.6,23.4997872331,75.78891611099243,69.8351572037,104.0,93.2
1,4,50,5,10,0.2,1,0.1,2902.0,2960.2,45.5034064659,34.151904582977295,48.371948576,94.0,132.2
1,4,50,1,10,0.2,2,0.1,3021.0,3057.0,35.7547199681,39.101062059402466,34.3504857063,108.0,94.8
1,4,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,3070.0,3126.0,49.5055552438,6.755818605422974,9.63724370003,92.0,133.0
1,4,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,3091.0,3312.4,179.625833331,6.677748203277588,7.17962040901,99.0,106.2
1,4,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,3321.0,3401.8,69.3668508727,4.233903884887695,3.84339022636,56.0,51.0
1,4,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,3058.0,3110.0,49.2666215606,11.029428005218506,8.56215848923,146.0,113.0
1,4,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,3241.0,3492.4,129.62036877,4.718721866607666,4.33342075348,71.0,65.2
1,4,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,3170.0,3255.6,98.1725012414,8.14112377166748,6.5595407486,112.0,90.2
2,5,100,10,10,0.2,1,0.1,2980.0,3038.6,53.6715939767,42.90116477012634,104.380941248,58.0,143.2
2,5,100,10,10,0.2,2,0.1,3042.0,3071.2,23.0685933685,290.5129358768463,185.848210144,400.0,255.6
2,5,100,1,10,0.2,1,0.1,2992.0,3029.0,31.9624780016,36.032023906707764,41.4696807861,49.0,56.6
2,5,100,1,10,0.2,2,0.1,2916.0,2992.0,44.326064567,35.24114751815796,37.8241022587,48.0,51.6
2,5,50,5,10,0.2,1,0.1,3047.0,3084.0,28.4675253579,21.793887615203857,28.7146215439,59.0,78.4
2,5,50,1,10,0.2,2,0.1,3061.0,3104.6,34.9491058541,19.084791660308838,20.9111951351,52.0,57.0
2,5,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,3153.0,3216.4,47.8940497348,3.5645534992218018,5.40914907455,48.0,73.6
2,5,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,3334.0,3438.4,77.0599766416,7.587596416473389,5.06605744362,111.0,73.8
2,5,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,3384.0,3461.6,52.9664044466,2.0179708003997803,2.59539208412,26.0,33.8
2,5,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,3215.0,3257.2,29.2396990409,5.447526693344116,6.22526502609,71.0,81.0
2,5,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,3355.0,3460.8,89.235418977,2.7595832347869873,2.89378089905,41.0,43.0
2,5,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,3224.0,3315.2,127.337975483,3.1152024269104004,4.26814575195,42.0,58.0
3,8,100,10,10,0.2,1,0.1,2952.0,3004.0,45.2504143627,56.41302418708801,142.359443426,76.0,192.8
3,8,100,10,10,0.2,2,0.1,2969.0,3027.4,35.5617772334,113.3568046092987,160.150986147,155.0,219.0
3,8,100,1,10,0.2,1,0.1,2948.0,2966.6,18.3477519059,48.57553219795227,42.4328975677,66.0,57.6
3,8,100,1,10,0.2,2,0.1,2973.0,3021.0,32.7353020453,52.402748823165894,40.7517724037,71.0,53.8
3,8,50,5,10,0.2,1,0.1,2950.0,3036.2,70.6835200029,20.215208053588867,41.1336935043,55.0,112.2
3,8,50,1,10,0.2,2,0.1,2965.0,3051.4,66.5690618831,16.855066061019897,18.6809020996,46.0,51.0
3,8,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,3063.0,3154.6,56.3297434754,3.82193922996521,5.16091766357,51.0,69.4
3,8,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,3276.0,3357.4,44.1524631249,3.6276869773864746,3.88187885284,52.0,55.6
3,8,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,3103.0,3271.2,107.147375143,2.589669704437256,3.10314741135,33.0,40.0
3,8,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,3128.0,3192.0,40.61034351,3.540325403213501,4.96933169365,45.0,63.8
3,8,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,3344.0,3400.0,60.1764073371,3.7140936851501465,2.8572871685,55.0,42.0
3,8,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,3130.0,3196.6,51.7401198298,3.935312509536743,3.50183930397,53.0,47.0
1,1,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,4462.0,4668.0,217.127612247,13.123934268951416,10.2093667507,186.0,144.6
1,1,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,5038.0,5382.4,205.275035014,6.005129337310791,6.46561584473,91.0,98.2
1,1,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,5855.0,6261.8,220.440831064,5.154412031173706,4.95697584152,70.0,67.4
1,1,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,4199.0,4426.0,138.179593284,10.970651388168335,10.3327965736,148.0,139.8
1,1,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,6553.0,6852.6,269.758855276,3.932070732116699,4.51514792442,61.0,70.2
1,1,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,5175.0,5653.8,260.226363,5.8301825523376465,5.94734258652,82.0,84.2
1,0,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,9721.0,10758.8,556.151202462,27.95194172859192,27.9648849487,400.0,400.0
