alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res,std_res,best_time,mean_time,best_iter,mean_iter
1,4,100,10,10,0.2,1,0.1,3670.0,3730.4,41.1708634838,72.82521867752075,129.34684844,100.0,178.4
1,4,100,10,10,0.2,2,0.1,3642.0,3696.0,33.1783061653,123.20995569229126,102.503213215,168.0,140.6
1,4,100,1,10,0.2,1,0.1,3726.0,3782.4,48.3553513068,74.96823334693909,64.3625627995,102.0,87.6
1,4,100,1,10,0.2,2,0.1,3742.0,3814.8,49.1300315489,42.95862627029419,56.6685656071,58.0,76.8
1,4,50,5,10,0.2,1,0.1,3724.0,3766.8,35.249964539,96.83414053916931,76.2136607647,264.0,209.4
1,4,50,1,10,0.2,2,0.1,3720.0,3875.6,92.3333092659,31.036553144454956,32.171111536,85.0,87.6
1,4,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,3978.0,4097.6,134.011342804,5.116888999938965,6.53341207504,67.0,85.8
1,4,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,3862.0,3918.8,43.2592186707,16.27876853942871,16.2779717445,227.0,226.6
1,4,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,3912.0,4095.6,111.924260105,5.816033363342285,5.01400880814,79.0,68.0
1,4,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,3948.0,3996.4,45.7716069196,10.3175687789917,8.4244058609,141.0,115.0
1,4,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,3962.0,4031.6,79.9339727525,7.512246131896973,6.55752367973,99.0,86.2
1,4,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,4280.0,4382.8,78.7766462856,5.252471208572388,5.28028073311,79.0,79.2
2,5,100,10,10,0.2,1,0.1,3720.0,3794.0,68.5390399699,289.08487915992737,119.234429359,400.0,164.2
2,5,100,10,10,0.2,2,0.1,3740.0,3777.2,34.4464802266,46.09785437583923,124.926638031,63.0,170.6
2,5,100,1,10,0.2,1,0.1,3788.0,3892.8,74.3677349393,39.29143309593201,39.075194788,53.0,52.8
2,5,100,1,10,0.2,2,0.1,3790.0,3870.0,61.1489983565,29.21544575691223,36.4934229374,39.0,48.8
2,5,50,5,10,0.2,1,0.1,3746.0,3869.6,91.8642476701,144.49646854400635,76.5346074581,400.0,210.0
2,5,50,1,10,0.2,2,0.1,3850.0,3903.2,44.2104060149,23.7149178981781,20.2925098896,63.0,54.4
2,5,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,3912.0,4056.0,94.1743064747,3.928473472595215,4.51389632225,51.0,59.0
2,5,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,3826.0,4021.2,160.825868566,7.712688446044922,8.50076479912,107.0,118.0
2,5,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,4054.0,4214.8,117.81069561,3.27713942527771,3.35510458946,44.0,45.0
2,5,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,3890.0,4078.4,135.31237933,3.649517774581909,4.96339831352,49.0,67.2
2,5,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,4044.0,4140.4,70.2726120192,2.860196352005005,3.08256840706,37.0,39.8
2,5,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,4074.0,4302.0,201.450738395,2.5087461471557617,3.07615861893,37.0,45.6
3,8,100,10,10,0.2,1,0.1,3780.0,3840.4,51.8366665595,301.9454174041748,152.042457294,400.0,198.2
3,8,100,10,10,0.2,2,0.1,3810.0,3864.8,47.9933328703,316.4583365917206,183.107818317,400.0,231.2
3,8,100,1,10,0.2,1,0.1,3740.0,3782.8,36.7172983756,39.487168073654175,41.1495944977,49.0,51.2
3,8,100,1,10,0.2,2,0.1,3806.0,3852.4,36.4724553602,36.97707653045654,36.5629173279,46.0,45.4
3,8,50,5,10,0.2,1,0.1,3704.0,3838.8,80.762367474,20.657912731170654,70.1921064377,51.0,176.0
3,8,50,1,10,0.2,2,0.1,3792.0,3840.0,42.8018691181,20.46233344078064,22.6207773209,51.0,56.2
3,8,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,3894.0,4089.2,122.243036611,5.1188154220581055,4.20003561974,60.0,49.4
3,8,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,3836.0,4003.6,102.265536717,7.63116455078125,8.56318593025,95.0,106.8
3,8,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,4028.0,4141.2,73.5347536883,8.33178997039795,6.03031888008,102.0,73.6
3,8,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,3954.0,4012.4,47.2169461105,6.194483041763306,6.90112752914,75.0,84.2
3,8,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,4022.0,4073.6,47.5209427516,3.129204750061035,3.64932684898,36.0,42.6
3,8,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,4178.0,4316.0,92.5116208916,2.586508274078369,3.46357479095,34.0,45.8
1,1,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,5980.0,6336.4,311.26683087,7.903319358825684,8.3666285038,98.0,103.4
1,1,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,4874.0,5020.4,122.646809987,15.034333944320679,16.2309669495,197.0,212.2
1,1,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,7100.0,7409.6,247.804439024,6.730832099914551,5.97954015732,86.0,76.4
1,1,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,5564.0,5947.6,341.112063698,10.226156949996948,11.02158494,131.0,140.8
1,1,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,6604.0,6946.8,229.913374992,8.625136613845825,7.24900536537,107.0,89.6
1,1,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,7314.0,7862.8,320.306353356,5.242690563201904,5.62871584892,73.0,78.6
1,0,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,12372.0,13482.4,1063.32866039,31.3428373336792,31.6844339371,390.0,396.0
1,0,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,13262.0,14213.6,568.636826103,30.511366844177246,30.4960409641,400.0,400.0
1,0,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,13798.0,14536.8,462.439790675,18.155843257904053,16.7065050125,233.0,213.6
1,0,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,13452.0,14526.0,587.904754191,30.989473581314087,30.9837975502,400.0,400.0
